permutation,score,elapsed_seconds,n_fits,fit_convergence_issues,warnings,labels_sha256
115,0.44078898674440459,94.992031170999326,370,0,0,d4653274720da2e331ad8f9ffd230a57223453670e1c32892798ce30b7235f8f
116,0.40784194390318218,93.134892647000015,370,0,0,3f42013334b7477f9696b25c6802611ccbcfffca8f493f483072b47a1c97cf4f
117,0.3443199059754099,89.343701365998641,370,0,0,8d8229b0c075be0c3d4fdf31c15b9068f3b65e94b9130b1a571d9b227404dfdd
118,0.4133240169859394,90.428765295999256,370,0,0,68fb4c150e68b7e8fd5133545c395ecbd1c063f6bd813dc457d2b3887393e075
119,0.37649656015508037,93.507622252000161,370,0,0,4a88ff0b60802e9fc1b73f4d6a3c027171e86774f556fcbcc92f66ceaa0d824a
120,0.37791520562040148,92.105994830999407,370,0,0,3cb527d611cc159f131cb38ed1922bc7f67fc9d2e11f03eb33e2e012b23fff8b
121,0.49256497577056108,92.736748873998295,370,0,0,578b54c2b38eb3b76b26f15168a860a5877c2aa96c812e8115393d183aa4783b
122,0.40915114962090932,93.20435827899928,370,0,0,86adf0e2212c3a06a9922f62536d59bd47cb245f56c90ba9346a4747709fa272
123,0.41297681440057799,93.610036059999402,370,0,0,0e11585de3672430f06cacb555197d2e1ce5027d3f27f52077c10de657008d2e
124,0.36764680343872941,94.979008435000637,370,0,0,4c2f48b7974f6e9d5bce64973cf1968e80b1ff6f058e9eb81d38d57255bbd92c
125,0.36292104237894562,96.278772865000064,370,0,0,63b0f15b583f683c94eb044993e7b9997783c0c3f18e7fa449c3b0870d6454ed
126,0.3912232454814733,94.4383618540014,370,0,0,ddaa1006567a69dd88c06b2410f9ff2449e52103b8bc65a9605ccc56edf9695d
127,0.39705375421259942,91.750484848998894,370,0,0,3ef38c5c896ccdc32d14d19392dd0136f7ea2163dbfb3e3a3c4876e288248bc7
128,0.37488375449651251,87.028664269999354,370,0,0,cf8675d2f3648a8015fbc47a10ebdd6fbf3d175e2830d62226144ce61c0cdf29
